Home Assistant notifications (Log started: 2018-06-27T22:00:02.911219+00:00)
--------------------------------------------------------------------------------
2018-06-27T22:00:02.911449+00:00 mm
2018-06-28T22:00:02.002066+00:00 1118.2 mm
2018-06-29T22:00:02.677153+00:00 1118.2 mm
2018-06-30T22:00:02.702485+00:00 1118.2 mm
2018-07-01T22:00:01.805315+00:00 1118.2 mm
2018-07-02T22:00:03.183596+00:00 1118.2 mm
2018-07-03T22:00:02.191251+00:00 1118.2 mm
2018-07-04T22:00:02.276779+00:00 1118.2 mm
2018-07-05T22:00:02.985944+00:00 1118.2 mm
2018-07-06T22:00:01.854972+00:00 1118.2 mm
2018-07-08T22:00:02.122483+00:00 1139.2 mm
2018-07-09T22:00:02.184374+00:00 1139.2 mm
2018-07-10T22:00:02.607790+00:00 1139.2 mm
2018-07-11T22:00:01.987991+00:00 1139.2 mm
2018-07-12T22:00:03.543018+00:00 1139.2 mm
2018-07-13T22:00:02.324327+00:00 1139.2 mm
2018-07-14T22:00:01.735296+00:00 1139.2 mm
2018-07-15T22:00:03.290975+00:00 1139.2 mm
2018-07-16T22:00:02.582051+00:00 1139.2 mm
2018-07-17T22:00:02.722451+00:00 1142.8 mm
2018-07-18T22:00:02.892943+00:00 1142.8 mm
2018-07-19T22:00:02.431213+00:00 1142.8 mm
2018-07-20T22:00:03.096165+00:00 1142.8 mm
2018-07-22T22:00:03.074880+00:00 1142.8 mm
2018-07-23T22:00:03.068050+00:00 1144.0 mm
2018-07-24T22:00:03.343191+00:00 1144.0 mm
2018-07-26T22:00:02.955749+00:00 1151.2 mm
2018-07-27T22:00:03.168855+00:00 1151.2 mm
2018-07-28T22:00:02.186498+00:00 1151.2 mm
2018-07-29T22:00:04.385045+00:00 1151.2 mm
2018-07-31T22:00:04.169704+00:00 1151.2 mm
2018-08-01T22:00:03.120937+00:00 1151.2 mm
2018-08-04T22:00:04.478134+00:00 1186.0 mm
2018-08-05T22:00:05.864470+00:00 1186.6 mm
2018-08-06T22:00:02.924160+00:00 1186.6 mm
2018-08-07T22:00:02.956019+00:00 1187.8 mm
2018-08-08T22:00:07.995245+00:00 1195.6 mm
2018-08-09T22:00:02.165289+00:00 1195.6 mm
2018-08-10T22:00:06.282360+00:00 1195.6 mm
2018-08-11T22:00:03.047276+00:00 1195.6 mm
2018-08-12T22:00:03.365703+00:00 1195.6 mm
2018-08-13T22:00:04.102645+00:00 1196.2 mm
2018-08-14T22:00:04.019497+00:00 1205.8 mm
2018-08-15T22:00:02.842878+00:00 1205.8 mm
2018-08-16T22:00:02.877582+00:00 1205.8 mm
2018-08-17T22:00:03.571715+00:00 1205.8 mm
2018-08-18T22:00:03.426178+00:00 1210.6 mm
2018-08-19T22:00:10.720185+00:00 1217.2 mm
2018-08-20T22:00:03.153409+00:00 1231.6 mm
2018-08-21T22:00:03.542223+00:00 1244.8 mm
2018-08-22T22:00:02.226216+00:00 1244.8 mm
2018-08-23T22:00:06.048721+00:00 1244.8 mm
2018-08-24T22:00:09.538003+00:00 1253.8 mm
2018-08-25T22:00:03.242293+00:00 1257.4 mm
2018-08-26T22:00:03.066946+00:00 1258.0 mm
2018-08-27T22:00:02.549202+00:00 1258.0 mm
2018-08-28T22:00:03.115090+00:00 1258.0 mm
2018-08-30T22:00:03.662843+00:00 1263.4 mm
2018-08-31T22:00:03.008258+00:00 1263.4 mm
2018-09-01T22:00:04.487089+00:00 1288.6 mm
2018-09-02T22:00:04.314765+00:00 1289.2 mm
2018-09-03T22:00:03.494119+00:00 1289.2 mm
2018-09-04T22:00:03.276587+00:00 1298.2 mm
2018-09-06T22:00:02.714833+00:00 1298.8 mm
2018-09-07T22:00:03.939900+00:00 1299.4 mm
2018-09-08T22:00:03.421332+00:00 1299.4 mm
2018-09-10T22:00:06.759288+00:00 1299.4 mm
2018-09-12T22:00:03.525997+00:00 1299.4 mm
2018-09-13T22:00:03.406907+00:00 1299.4 mm
2018-09-14T22:00:02.842767+00:00 1299.4 mm
2018-09-15T22:00:02.701465+00:00 1299.4 mm
2018-09-16T22:00:04.819031+00:00 1299.4 mm
2018-09-17T22:00:03.333573+00:00 1309.0 mm
2018-09-18T22:00:03.918890+00:00 1309.0 mm
2018-09-19T22:00:03.436373+00:00 1319.8 mm
2018-09-20T22:00:05.293622+00:00 1320.4 mm
2018-09-21T22:00:03.367948+00:00 1320.4 mm
2018-09-22T22:00:04.101604+00:00 1320.4 mm
2018-09-23T22:00:05.378060+00:00 1320.4 mm
2018-09-24T22:00:03.379794+00:00 1320.4 mm
2018-09-27T22:00:03.433247+00:00 1320.4 mm
2018-09-28T22:00:03.551348+00:00 1320.4 mm
2018-09-29T22:00:06.499548+00:00 1320.4 mm
2018-09-30T22:00:06.296652+00:00 1320.4 mm
2018-10-01T22:00:03.917758+00:00 1327.0 mm
2018-10-02T22:00:03.413808+00:00 1340.2 mm
2018-10-03T22:00:04.136807+00:00 1340.2 mm
2018-10-04T22:00:02.721482+00:00 1340.2 mm
2018-10-05T22:00:03.158648+00:00 1340.2 mm
2018-10-06T22:00:04.478673+00:00 1351.0 mm
2018-10-10T22:00:09.609165+00:00 1397.2 mm
2018-10-12T22:00:02.732972+00:00 1397.8 mm
2018-10-14T22:00:02.882721+00:00 1397.8 mm
2018-10-15T22:00:02.604276+00:00 1397.8 mm
2018-10-17T22:00:02.639333+00:00 1397.8 mm
